Squad,Comp,# Pl,Age,Poss,MP,Starts,Team Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,TeamTouches90,Opp Touches
Getafe,es La Liga,28,28.3,43.2,28,308,2520,28.0,36,23,59,30,6,6,104,9,33.6,28.9,19.1,48.0,315,821,1.29,0.82,2.11,1.07,1.89,1.2,0.68,495.9642857142857,17595
Girona,es La Liga,24,26.6,56.8,28,308,2520,28.0,59,46,105,56,3,3,56,1,47.8,45.4,37.6,83.0,655,1202,2.11,1.64,3.75,2.0,3.64,1.71,1.34,673.6428571428571,14975
Granada,es La Liga,36,27.4,46.3,27,297,2430,27.0,28,23,51,24,4,6,68,3,31.5,26.8,22.7,49.5,388,732,1.04,0.85,1.89,0.89,1.74,1.17,0.84,538.4814814814815,16658
Heidenheim,de Bundesliga,21,27.4,42.3,25,275,2250,25.0,32,22,54,30,2,3,42,0,29.2,26.9,18.8,45.6,362,737,1.28,0.88,2.16,1.2,2.08,1.17,0.75,541.84,17611
Hellas Verona,it Serie A,34,26.4,44.5,28,308,2520,28.0,25,19,44,23,2,6,66,5,24.7,19.9,15.8,35.7,403,806,0.89,0.68,1.57,0.82,1.5,0.88,0.56,497.7142857142857,16503
Hoffenheim,de Bundesliga,29,28.6,49.0,25,275,2250,25.0,43,26,69,37,6,6,73,5,40.1,35.4,27.6,63.1,376,1002,1.72,1.04,2.76,1.48,2.52,1.6,1.1,610.04,15765
Inter,it Serie A,26,29.8,55.7,28,308,2520,28.0,68,49,117,58,10,11,38,0,58.9,50.4,42.2,92.5,523,1182,2.43,1.75,4.18,2.07,3.82,2.1,1.51,670.7142857142857,15597
Juventus,it Serie A,27,27.2,48.3,28,308,2520,28.0,43,34,77,40,3,5,64,1,42.8,38.8,31.3,70.1,517,1057,1.54,1.21,2.75,1.43,2.64,1.53,1.12,587.1071428571429,17494
Köln,de Bundesliga,26,26.1,45.1,25,275,2250,25.0,19,11,30,16,3,3,49,4,25.1,22.7,16.5,39.2,450,772,0.76,0.44,1.2,0.64,1.08,1.0,0.66,576.24,17292
Las Palmas,es La Liga,28,26.2,60.2,28,308,2520,28.0,29,20,49,26,3,4,68,3,24.5,21.4,17.1,38.5,427,1204,1.04,0.71,1.75,0.93,1.64,0.88,0.61,725.3928571428571,14364
Lazio,it Serie A,21,28.9,51.0,27,297,2430,27.0,30,20,50,26,4,4,71,5,31.1,28.0,20.6,48.6,522,1021,1.11,0.74,1.85,0.96,1.7,1.15,0.76,638.5185185185185,16755
Le Havre,fr Ligue 1,26,26.7,44.3,25,275,2250,25.0,24,17,41,21,3,4,45,5,26.2,23.1,18.3,41.4,310,876,0.96,0.68,1.64,0.84,1.52,1.05,0.73,557.88,16902
Lecce,it Serie A,26,25.6,44.5,28,308,2520,28.0,24,17,41,21,3,5,73,4,29.8,25.8,20.0,45.8,467,877,0.86,0.61,1.46,0.75,1.36,1.06,0.71,515.0714285714286,17037
Lens,fr Ligue 1,26,27.2,52.1,25,275,2250,25.0,34,21,55,30,4,5,58,4,38.7,35.1,26.5,61.5,452,1187,1.36,0.84,2.2,1.2,2.04,1.55,1.06,629.0,14985
Leverkusen,de Bundesliga,24,26.8,62.8,25,275,2250,25.0,61,52,113,58,3,3,47,0,50.3,48.1,40.2,88.4,686,1468,2.44,2.08,4.52,2.32,4.4,2.01,1.61,841.76,13816
Lille,fr Ligue 1,27,25.8,57.0,25,275,2250,25.0,34,20,54,33,1,2,49,2,38.1,36.4,27.0,63.4,497,1103,1.36,0.8,2.16,1.32,2.12,1.52,1.08,679.72,13408
Liverpool,eng Premier League,29,27.0,60.2,28,308,2520,28.0,61,48,109,56,5,8,53,5,62.3,55.8,45.4,101.2,659,1462,2.18,1.71,3.89,2.0,3.71,2.23,1.62,739.8571428571429,15242
Lorient,fr Ligue 1,39,25.5,45.4,25,275,2250,25.0,32,21,53,32,0,0,45,0,24.9,24.9,18.8,43.7,427,875,1.28,0.84,2.12,1.28,2.12,1.0,0.75,585.28,16988
